ugc_code,university_name,university_type,city_guess,state,region,website,contact,email
0,Rajiv Gandhi University,,Doimukh Itanagar,Arunachal Pradesh,Northeast,http://www.rgu.ac.in,0360-2277253   ,
1,Assam University,,P.O.,Assam,Northeast,http://www.assamuniversity.nic.in,   03842-270802 ,
2,Tezpur University,,Napaam Tezpur,Assam,Northeast,http://www.tezu.ernet.in,3712 267007/8/9   3712-267005/6,admn@tezu.ernet.in
3,University of Hyderabad,,Campus Hyderabad,Telangana,South,http://www.uohyd.ac.in,040-23132101   23132102   23132103   ,
4,Maulana Azad National Urdu University,,Gachibowli Hyderabad,Telangana,South,http://www.manuu.ac.in,040-23006612-15   18004252958,
5,English & Foreign Languages University,,Campus Hyderabad,Telangana,South,http://www.efluniversity.ac.in,040-27098141   27097530   27098225   27098392   040-27098402,
6,Jamia Millia Islamia,,Nagar New,Delhi,North,http://www.jmi.nic.in,+91(11)26981717  26984617  26984658  26988044  26987183   +91(11)2698 0229,
7,University of Delhi,,,Delhi,North,http://www.du.ac.in,   ,
8,Jawaharlal Nehru University,,Road New,Delhi,North,http://www.jnu.ac.in,011-26742575   26742676   26741557    011-26741586,
9,Indira Gandhi National Open University,,Garhi New,Delhi,North,http://www.ignou.ac.in,91-011-29532098   29571402   29571401   ,
10,The Indira Gandhi National Tribal University,,Sadan Amarkantak,Madhya Pradesh,Central,http://igntu.nic.in,(07629) 280801   280802   280803   280810   280811   07629-269432,recruit.igntu@gmail.com
11,Mahatma Gandhi Antarrashtriya Hindi Vishwavidyalaya,,Wardha Mumbai,Maharashtra,West,,91-7152-232957   91-7152-242814,de.mba@hindivishwa.org  mgahvmbabba@gmail.com
12,Mizoram University,,190 Aizwal,Mizoram,Northeast,http://www.mzu.edu.in,   ,registrar@mzu.edu.in
13,North Eastern Hill University,,Campus Shillong,Meghalaya,Northeast,http://www.nehu.ac.in,   ,
14,Manipur University,,Imphal,Manipur,Northeast,http://www.manipuruniv.ac.in,+91-385-2435833   2435276   2435100   +91-385-2435145 ,info@manipuruniv.ac.in
15,Central Agricultural University,,Imphal,Manipur,Northeast,http://www.cau.org.in,0364-2570047   ,
16,Pondicherry University,,Nagar Kalapet,Puducherry,South,http://www.pondiuni.edu.in,0413 - 2654262   ,registrar@pondiuni.edu.in
17,Sikkim University,,Tadong Gangtok,Sikkim,Northeast,http://www.sikkimuniversity.in,+91-03592-251438   91-03592-251438,tkkaul@hotmail.com   registrar@cus.ac.in 
18,Tripura University,,Suryamaninagar Agartala,Tripura,Northeast,http://www.tripurauniv.in, +91 381 237 4801/4803    +91 381 237 4802  ,tripurauniversity@rediffmail.com
19,Aligarh Muslim University,,Aligarh,Uttar Pradesh,North,http://www.amu.ac.in,0571-2700994   2700173   2700220   2720520   0571-2700087/2700528,
20,Babasaheb Bhimrao Ambedkar University,,Road Lucknow,Uttar Pradesh,North,http://www.bbau.ac.in,91-522-2440822    91-522-2440821  2441888,info@bbau.ac.in
21,Banaras Hindu University,,Varanasi,Uttar Pradesh,North,http://www.bhu.ac.in,   ,
22,University of Allahabad,,Allahabad,Uttar Pradesh,North,http://www.allduniv.ac.in/,0532-2461083   ,
23,Visva Bharati,,Shantiniketan,West Bengal,East,http://www.visva-bharati.ac.in,91(3463)262751 to 262756 (6 lines)   91(3463)262672,
24,Hemwati Nandan Bahuguna Garhwal University,,Srinagar Garhwal,Uttarakhand,North,http://www.hnbgu.ac.in,01346-252143   01346 – 252247,registrar.hnbgu@gmail.com
25,Central university of Tamil Nadu,,Annexe Tiruvarur,Tamil Nadu,South,http://www.tiruvarur.in.nic.in/cutn/,+91 4366 220311   +91 4366 225312,psvc@cutn.ac.in/pavc@cutn.ac.in   admissions@cutn.ac.in
26,Indian Maritime University,,Chennai,Tamil Nadu,South,http://www.imu.tn.nic.in,(044) 24530343   24530345   (044) 24530342,info@imu.co.in
